normRMSH;normCurv;gammaNorm;muT;normPullOff
0.11252;14.543;0.147337;0.238928;0.00989503
0.149189;8.53679;0.0993749;0.596627;3.90E-05
0.0602461;93.1343;0.00110709;0.314256;0.000132908
0.148948;8.56467;0.0810837;0.265387;0.0223241
0.0728313;48.9065;0.023706;0.334582;0.00020533
0.226675;5.08463;0.0228914;1.09321;0.000154666
0.0726128;48.8909;0.0307139;0.368404;0.00018919
0.0890797;26.2222;0.0433394;0.420718;0.00135594
0.225146;5.12845;1.32524;0.372792;0.0600162
0.148825;8.50161;0.000562332;0.305027;0.000163097
0.149002;8.55807;0.0596111;0.319115;5.39E-05
0.0602461;93.1343;0.212116;0.243175;0.000239116
0.0980339;20.4413;0.1296;0.371119;0.000947405
0.149002;8.55806;0.17677;0.240323;0.00845579
0.0531116;135.626;0.0256049;0.625105;0.000218869
0.225373;5.12003;0.00416037;1.08369;2.42E-05
0.12583;11.5725;4.14E-05;0.351593;8.40E-05
0.149003;8.55805;0.523416;0.480811;0.0760219
0.159155;6.28319;0.00700535;0.381732;0.0103029
0.11252;14.543;0.00750114;1.31467;0.000357417
0.12583;11.5725;0.182426;0.287195;0.000140744
0.225959;5.10704;0.268698;0.267055;0.0799085
0.0728051;48.9078;0.216889;0.234772;0.00757784
0.0728847;48.9243;0.415648;1.17571;0.0127479
0.148996;8.56211;0.0865289;0.353368;0.00583624
0.11252;14.543;0.0568249;0.200254;0.00594824
0.0727746;48.895;0.196329;0.244144;0.00143817
0.0728699;48.9235;0.602487;0.222587;0.0927788
0.225079;5.09501;0.0842261;0.260443;0.0032968
0.208383;5.4414;NA;67.9237;2.13E-09
0.146249;8.47241;7.20E-05;0.22485;0.000836338
0.0934685;20.0097;0.039538;0.276165;0.00264782
0.134979;8.47956;0.00132091;0.218552;0.00272376
0.112843;14.6006;0.530265;0.686709;0.0649183
0.0603441;93.1873;0.021626;0.886085;0.00111416
0.0894094;26.2566;1.3396;0.503545;0.171207
0.0605209;93.2237;0.700365;0.202182;0.150802
0.0894047;26.2516;0.216106;0.292019;0.094001
0.149003;8.55805;0.026818;1.03726;0.000107585
0.0763861;36.6445;0.014908;0.425962;0.000127207
0.0893973;26.2494;0.0266626;1.98899;2.86E-05
0.0427713;351.625;0.0484302;0.315761;0.000465469
0.0893441;26.2423;0.000949075;0.300326;0.000188123
0.0385135;519.821;0.00672952;0.24871;0.000510866
0.0980339;20.4413;0.0136249;0.585528;0.000446286
0.0662229;59.382;0.00215879;0.318141;0.000665232
0.148825;8.50157;0.260187;0.247377;0.0401236
0.0858638;25.5193;0.0503708;0.758501;0.000113721
0.0893443;26.2424;0.115225;0.33052;0.0005041
0.0728827;48.9245;0.247187;0.596203;0.0285587
0.0728051;48.9078;0.0565592;0.501477;0.00148422
0.0728313;48.9065;0.240963;0.246425;0.0510765
0.0406514;436.797;0.0998482;0.382601;0.000467597
0.22508;5.09501;0.367161;2.12504;0.0010151
0.149005;8.56189;0.89219;0.352675;0.143415
0.208383;5.4414;0.000119101;0.209148;0.000959
0.148825;8.50158;0.00662238;0.447215;0.000212451
0.149074;8.53648;0.096755;4.48284;0.00192151
0.226675;5.08463;0.0199957;0.588998;0.000130657
0.112859;14.581;0.259158;0.265994;0.0085886
0.159155;6.28319;0.014358;0.286909;0.00213757
0.0450703;264.666;0.0376459;0.437111;0.00202901
0.0890797;26.2222;0.00189382;0.265036;0.000576925
0.111252;14.4379;1.11E-05;0.558737;0.000309499
0.0763861;36.6445;0.00974873;0.217164;0.000288418
0.112831;14.5954;0.449327;0.696224;0.0606174
0.112831;14.5954;0.188899;3.06078;0.000730994
0.0893;26.2153;0.375846;0.348567;0.0151151
0.10696;14.0668;0.0161458;0.440814;0.00383212
0.0586953;92.2443;0.00644893;0.331444;0.00037506
0.0822391;31.9209;0.00958077;0.306335;0.00028255
0.0703854;48.0655;0.0339507;0.543898;0.00171232
0.0858638;25.5193;0.000977847;0.520156;0.000228278
0.0330742;1025.61;0.00146484;0.484142;8.15E-05
0.0605535;93.2288;0.830753;0.274495;0.0878771
0.0626451;82.219;0.0188407;3.59978;1.61E-06
0.149075;8.53648;0.107261;0.242747;0.00111761
0.0586953;92.2443;NA;18.1321;4.25E-05
0.0892555;26.2408;0.218334;0.396698;0.000708152
0.0703852;48.0655;0.0225631;0.322166;0.000992479
0.0858641;25.5193;0.173911;0.36048;0.00283257
0.0893443;26.2424;0.129251;0.206678;0.00616509
0.148825;8.50159;0.133281;0.332552;0.000650999
0.0894073;26.2566;0.197498;0.75895;0.00606131
0.0894047;26.255;1.29108;0.369862;0.248171
0.219446;5.24803;0.00789985;1.16772;8.15E-05
0.0889826;26.1263;0.00180654;2.61404;1.17E-05
0.0604715;93.217;0.102876;0.240632;0.00211102
0.149074;8.53648;0.786919;0.338477;0.142121
0.0361365;688.873;0.0247984;2.24698;2.49E-05
0.159155;6.28318;0.000244372;0.305233;0.00159074
0.112774;14.5858;0.127377;0.265263;0.00119346
0.072502;48.8146;0.0398216;0.210739;0.0067208
0.208383;5.44141;0.0741015;0.249119;0.00292897
0.111252;14.4379;0.00406587;0.843035;8.80E-05
0.11255;14.4314;0.0371367;0.317082;0.0024114
0.0703852;48.0655;0.000759233;0.282719;0.00112424
0.0790625;37.6395;0.0747369;0.352053;0.000112893
0.111252;14.4379;0.0147448;0.228444;0.000797944
0.0571939;115.115;0.167258;0.219621;0.0578086
0.0603441;93.1873;0.01;1;2.44E-06
0.0603441;93.1873;0.03;1;1.04E-05
0.0603441;93.1873;0.05;1;1.67E-05
0.0603441;93.1873;0.07;1;2.45E-05
0.0603441;93.1873;0.1;1;3.42E-05
0.0603441;93.1873;0.15;1;9.35E-05
0.0603441;93.1873;0.2;1;0.00023732
0.0603441;93.1873;0.27;1;0.000513688
0.0603441;93.1873;0.34;1;0.00151801
0.0603441;93.1873;0.4;1;0.00297041
0.0603441;93.1873;0.5;1;0.00551918
0.0603441;93.1873;0.6;1;0.00870607
0.0603441;93.1873;0.7;1;0.0139373
0.0603441;93.1873;0.8;1;0.0196866
0.0603441;93.1873;1;1;0.0311752
0.0603441;93.1873;1.41;1;0.0520635
0.0603441;93.1873;2;1;0.0793143
0.0603441;93.1873;2.82;1;0.112637
0.0603441;93.1873;4;1;0.165239
0.0603441;93.1873;5.64;1;0.167925
0.0603441;93.1873;8;1;0.209155
0.0603441;93.1873;8;1;0.209155
0.0603441;97.6387;0.01;1;2.44E-06
0.0603441;97.6387;0.03;1;1.04E-05
0.0603441;97.6387;0.05;1;1.67E-05
0.0603441;97.6387;0.07;1;2.45E-05
0.0603441;97.6387;0.1;1;3.42E-05
0.0603441;97.6387;0.15;1;9.35E-05
0.0603441;97.6387;0.2;1;0.00023732
0.0603441;97.6387;0.27;1;0.000513688
0.0603441;97.6387;0.34;1;0.00151801
0.0603441;97.6387;0.4;1;0.00297041
0.0603441;97.6387;0.5;1;0.00551918
0.0603441;97.6387;0.6;1;0.00870607
0.0603441;97.6387;0.7;1;0.0139373
0.0603441;97.6387;0.8;1;0.0196866
0.0603441;97.6387;1;1;0.0311752
0.0603441;97.6387;1.41;1;0.0520635
0.0603441;97.6387;2;1;0.0793143
0.0603441;97.6387;2.82;1;0.112637
0.0603441;97.6387;4;1;0.165239
0.0603441;97.6387;5.64;1;0.167925
0.0603441;97.6387;8;1;0.209155
0.0603441;97.6387;8;1;0.209155
0.0603441;97.6387;0.01;1;9.91E-07
0.0603441;97.6387;0.03;1;1.81E-06
0.0603441;97.6387;0.05;1;2.14E-06
0.0603441;97.6387;0.07;1;5.92E-06
0.0603441;97.6387;0.1;1;1.88E-05
0.0603441;97.6387;0.15;1;5.19E-05
0.0603441;97.6387;0.2;1;2.07E-05
0.0603441;97.6387;0.27;1;0.000215577
0.0603441;97.6387;0.34;1;0.000571127
0.0603441;97.6387;0.4;1;0.00117545
0.0603441;97.6387;0.5;1;0.00369179
0.0603441;97.6387;0.6;1;0.00782394
0.0603441;97.6387;0.7;1;0.0123421
0.0603441;97.6387;0.8;1;0.017559
0.0603441;97.6387;1;1;0.0288325
0.0603441;97.6387;1.41;1;0.0462053
0.0603441;97.6387;2;1;0.0697014
0.0603441;97.6387;2.82;1;0.0849537
0.0603441;97.6387;4;1;0.101335
0.0603441;97.6387;8;1;0.130589
0.0508134;180.221;0.01;1;8.41E-07
0.0508134;180.221;0.02;1;2.94E-06
0.0508134;180.221;0.04;1;5.26E-06
0.0508134;180.221;0.07;1;7.86E-06
0.0508134;180.221;0.13;1;6.42E-05
0.0508134;180.221;0.2;1;0.000101221
0.0508134;180.221;0.27;1;0.000125875
0.0508134;180.221;0.31;1;0.000227665
0.0508134;180.221;0.35;1;0.000356407
0.0508134;180.221;0.45;1;0.0020517
0.0508134;180.221;0.55;1;0.00478648
0.0508134;180.221;0.55;1;0.00478648
0.0508134;180.221;0.01;1;1.57E-06
0.0508134;180.221;0.02;1;4.14E-06
0.0508134;180.221;0.04;1;7.98E-06
0.0508134;180.221;0.07;1;1.72E-05
0.0508134;180.221;0.13;1;3.27E-05
0.0508134;180.221;0.2;1;4.77E-05
0.0508134;180.221;0.27;1;6.16E-05
0.0508134;180.221;0.29;1;6.49E-05
0.0508134;180.221;0.31;1;7.96E-05
0.0508134;180.221;0.33;1;7.08E-05
0.0508134;180.221;0.35;1;0.000371819
0.0508134;180.221;0.4;1;0.000654254
0.0508134;180.221;0.45;1;0.00172798
0.0508134;180.221;0.5;1;0.00128225
0.0508134;180.221;0.55;1;0.00389777
0.0508134;180.221;0.66;1;0.00553803
0.0508134;180.221;0.78;1;0.0139409
0.0508134;180.221;0.9;1;0.0193512
0.0508134;180.221;1.1;1;0.0286454
0.0508134;180.221;1.6;1;0.0513946
0.0508134;180.221;2.3;1;0.0776715
0.0508134;180.221;3.2;1;0.104123
0.0508134;180.221;4.5;1;0.13638
0.0508134;180.221;6.2;1;0.149201
0.0508134;180.221;0.01;1;1.57E-06
0.0508134;180.221;0.02;1;1.36E-06
0.0508134;180.221;0.04;1;2.53E-06
0.0508134;180.221;0.07;1;4.71E-06
0.0508134;180.221;0.13;1;1.02E-05
0.0508134;180.221;0.2;1;2.65E-05
0.0508134;180.221;0.27;1;3.99E-05
0.0508134;180.221;0.31;1;4.51E-05
0.0508134;180.221;0.35;1;0.000182503
0.0508134;180.221;0.45;1;0.000977591
0.0508134;180.221;0.55;1;0.00336538
0.0508134;180.221;0.78;1;0.0121535
0.0508134;180.221;0.9;1;0.0175942
0.0508134;180.221;1.1;1;0.0274163
0.0508134;180.221;1.6;1;0.0509653
0.0508134;180.221;2.3;1;0.0764557
0.0508134;180.221;2.3;1;0.0764557
0.0431855;351.812;0.01;1;4.00E-07
0.0431855;351.812;0.03;1;1.67E-06
0.0431855;351.812;0.05;1;2.91E-06
0.0431855;351.812;0.085;1;4.27E-06
0.0431855;351.812;0.12;1;1.04E-05
0.0431855;351.812;0.17;1;2.27E-05
0.0431855;351.812;0.23;1;3.33E-05
0.0431855;351.812;0.28;1;0.00010326
0.0431855;351.812;0.34;1;0.00038544
0.0431855;351.812;0.42;1;0.00103429
0.0431855;351.812;0.5;1;0.00301082
0.0431855;351.812;0.68;1;0.00906664
0.0431855;351.812;0.95;1;0.0192142
0.0431855;351.812;1.25;1;0.0288956
0.0431855;351.812;1.8;1;0.0522954
0.0431855;351.812;2.6;1;0.0757911
0.0431855;351.812;3.6;1;0.0949124
